,category1_name,category2_no,category2_name,category3_no,category3_name,href
133,设计,4Q00,视觉设计,0107,美术设计师（2D/3D）,https://www.lagou.com/zhaopin/meishushejishi%EF%BC%882D3D%EF%BC%89/
134,设计,4Q00,视觉设计,0108,广告设计师,https://www.lagou.com/zhaopin/guanggaoshejishi/
135,设计,4Q00,视觉设计,0109,多媒体设计师,https://www.lagou.com/zhaopin/duomeitishejishi/
136,设计,4Q00,视觉设计,0110,原画师,https://www.lagou.com/zhaopin/yuanhuashi/
137,设计,4Q00,视觉设计,0111,游戏特效,https://www.lagou.com/zhaopin/youxitexiao/
138,设计,4Q00,视觉设计,0112,游戏界面设计师,https://www.lagou.com/zhaopin/youxijiemianshejishi/
139,设计,4Q00,视觉设计,0113,游戏场景,https://www.lagou.com/zhaopin/youxichangjing/
140,设计,4Q00,视觉设计,0114,游戏角色,https://www.lagou.com/zhaopin/youxijiaose/
141,设计,4Q00,视觉设计,0115,游戏动作,https://www.lagou.com/zhaopin/youxidongzuo/
142,设计,4Q00,交互设计,0201,交互设计师,https://www.lagou.com/zhaopin/jiaohushejishi1/
143,设计,4Q00,交互设计,0202,无线交互设计师,https://www.lagou.com/zhaopin/wuxianjiaohushejishi/
144,设计,4Q00,交互设计,0203,网页交互设计师,https://www.lagou.com/zhaopin/wangyejiaohushejishi/
145,设计,4Q00,交互设计,0204,硬件交互设计师,https://www.lagou.com/zhaopin/yingjianjiaohushejishi/
146,设计,4Q00,用户研究,0301,数据分析师,https://www.lagou.com/zhaopin/shujufenxishi/
147,设计,4Q00,用户研究,0302,用户研究员,https://www.lagou.com/zhaopin/yonghuyanjiuyuan/
148,设计,4Q00,用户研究,0303,游戏数值策划,https://www.lagou.com/zhaopin/youxishuzhicehua/
149,设计,4Q00,高端职位,0401,设计经理/主管,https://www.lagou.com/zhaopin/shejijinglizhuguan/
150,设计,4Q00,高端职位,0402,设计总监,https://www.lagou.com/zhaopin/shejizongjian/
151,设计,4Q00,高端职位,0403,视觉设计经理/主管,https://www.lagou.com/zhaopin/shijueshejijinglizhuguan/
152,设计,4Q00,高端职位,0404,视觉设计总监,https://www.lagou.com/zhaopin/shijueshejizongjian/
153,设计,4Q00,高端职位,0405,交互设计经理/主管,https://www.lagou.com/zhaopin/jiaohushejijinglizhuguan/
154,设计,4Q00,高端职位,0406,交互设计总监,https://www.lagou.com/zhaopin/jiaohushejizongjian/
155,设计,4Q00,高端职位,0407,用户研究经理/主管,https://www.lagou.com/zhaopin/yonghuyanjiujinglizhuguan/
156,设计,4Q00,高端职位,0408,用户研究总监,https://www.lagou.com/zhaopin/yonghuyanjiuzongjian/
157,运营,4R00,运营,0101,用户运营,https://www.lagou.com/zhaopin/yonghuyunying/
158,运营,4R00,运营,0102,产品运营,https://www.lagou.com/zhaopin/chanpinyunying/
159,运营,4R00,运营,0103,数据运营,https://www.lagou.com/zhaopin/shujuyunying/
160,运营,4R00,运营,0104,内容运营,https://www.lagou.com/zhaopin/neirongyunying/
161,运营,4R00,运营,0105,活动运营,https://www.lagou.com/zhaopin/huodongyunying/
162,运营,4R00,运营,0106,商家运营,https://www.lagou.com/zhaopin/shangjiayunying/
163,运营,4R00,运营,0107,品类运营,https://www.lagou.com/zhaopin/pinleiyunying/
164,运营,4R00,运营,0108,游戏运营,https://www.lagou.com/zhaopin/youxiyunying/
165,运营,4R00,运营,0109,网络推广,https://www.lagou.com/zhaopin/wangluotuiguang/
166,运营,4R00,运营,0110,运营专员,https://www.lagou.com/zhaopin/yunyingzhuanyuan/
167,运营,4R00,运营,0111,网店运营,https://www.lagou.com/zhaopin/wangdianyunying/
168,运营,4R00,运营,0112,新媒体运营,https://www.lagou.com/zhaopin/xinmeitiyunying/
169,运营,4R00,运营,0113,海外运营,https://www.lagou.com/zhaopin/haiwaiyunying/
170,运营,4R00,运营,0114,运营经理,https://www.lagou.com/zhaopin/yunyingjingli/
171,运营,4R00,编辑,0201,副主编,https://www.lagou.com/zhaopin/fuzhubian/
172,运营,4R00,编辑,0202,内容编辑,https://www.lagou.com/zhaopin/neirongbianji/
173,运营,4R00,编辑,0203,文案策划,https://www.lagou.com/zhaopin/wenancehua/
174,运营,4R00,编辑,0204,记者,https://www.lagou.com/zhaopin/jizhe/
175,运营,4R00,客服,0301,售前咨询,https://www.lagou.com/zhaopin/shouqianzixun/
176,运营,4R00,客服,0302,售后客服,https://www.lagou.com/zhaopin/shouhoukefu/
177,运营,4R00,客服,0303,淘宝客服,https://www.lagou.com/zhaopin/taobaokefu/
178,运营,4R00,客服,0304,客服经理,https://www.lagou.com/zhaopin/kefujingli/
179,运营,4R00,高端职位,0401,主编,https://www.lagou.com/zhaopin/zhubian/
180,运营,4R00,高端职位,0402,运营总监,https://www.lagou.com/zhaopin/yunyingzongjian/
181,运营,4R00,高端职位,0403,COO,https://www.lagou.com/zhaopin/COO/
182,运营,4R00,高端职位,0404,客服总监,https://www.lagou.com/zhaopin/kefuzongjian/
183,市场,1k5g,市场/营销,0101,市场营销,https://www.lagou.com/zhaopin/shichangshichangyingxiao1/
184,市场,1k5g,市场/营销,0102,市场策划,https://www.lagou.com/zhaopin/shichangcehua1/
185,市场,1k5g,市场/营销,0103,市场顾问,https://www.lagou.com/zhaopin/shichangguwen1/
186,市场,1k5g,市场/营销,0104,商务渠道,https://www.lagou.com/zhaopin/shangwuqudao2/
187,市场,1k5g,市场/营销,0105,商业数据分析,https://www.lagou.com/zhaopin/shangyeshjufenxi/
188,市场,1k5g,市场/营销,0106,活动策划,https://www.lagou.com/zhaopin/huodongcehua1/
189,市场,1k5g,市场/营销,0107,网络营销,https://www.lagou.com/zhaopin/wangluoyingxiao1/
190,市场,1k5g,市场/营销,0108,海外市场,https://www.lagou.com/zhaopin/haiwaishichang1/
191,市场,1k5g,市场/营销,0109,商务专员,https://www.lagou.com/zhaopin/shangwuzhuanyuan/
192,市场,1k5g,媒介/公关,0201,政府关系,https://www.lagou.com/zhaopin/zhengfuguanxi1/
193,市场,1k5g,媒介/公关,0202,品牌公关,https://www.lagou.com/zhaopin/pinpaigongguan1/
194,市场,1k5g,媒介/公关,0203,广告协调,https://www.lagou.com/zhaopin/guanggaoxietiao/
195,市场,1k5g,媒介/公关,0204,媒介投放,https://www.lagou.com/zhaopin/meijietoufang/
196,市场,1k5g,媒介/公关,0205,媒介合作,https://www.lagou.com/zhaopin/meijiehezuo/
197,市场,1k5g,媒介/公关,0206,媒介顾问,https://www.lagou.com/zhaopin/meijieguwen/
198,市场,1k5g,品牌/广告,0301,广告创意,https://www.lagou.com/zhaopin/guanggaochuangyi/
199,市场,1k5g,品牌/广告,0302,广告制作,https://www.lagou.com/zhaopin/guanggaozhizuo/
200,市场,1k5g,品牌/广告,0303,广告文案,https://www.lagou.com/zhaopin/guanggaowenan/
201,市场,1k5g,品牌/广告,0304,广告投放,https://www.lagou.com/zhaopin/guanggaotoufang/
202,市场,1k5g,品牌/广告,0305,广告定价,https://www.lagou.com/zhaopin/guanggaodingwei/
203,市场,1k5g,品牌/广告,0306,广告专员,https://www.lagou.com/zhaopin/guanggaozhuanyuan/
204,市场,1k5g,品牌/广告,0307,品牌合作,https://www.lagou.com/zhaopin/pinpaihezuo/
205,市场,1k5g,品牌/广告,0308,品牌策划,https://www.lagou.com/zhaopin/pinpaicehua/
206,市场,1k5g,品牌/广告,0309,品牌专员,https://www.lagou.com/zhaopin/pinpaizhuanyuan/
207,市场,1k5g,品牌/广告,0310,美术指导,https://www.lagou.com/zhaopin/meishuzhidao/
208,市场,1k5g,渠道/推广,0401,市场推广,https://www.lagou.com/zhaopin/shichangtuiguang1/
209,市场,1k5g,渠道/推广,0402,渠道推广,https://www.lagou.com/zhaopin/qudaotuiguang1/
210,市场,1k5g,渠道/推广,0403,SEO,https://www.lagou.com/zhaopin/SEO1/
211,市场,1k5g,渠道/推广,0404,SEM,https://www.lagou.com/zhaopin/SEM1/
212,市场,1k5g,高端职位,0501,策划经理,https://www.lagou.com/zhaopin/cehuajingli/
213,市场,1k5g,高端职位,0502,媒介经理,https://www.lagou.com/zhaopin/meijiejingli1/
214,市场,1k5g,高端职位,0503,市场总监,https://www.lagou.com/zhaopin/shichangzongjian1/
215,市场,1k5g,高端职位,0504,公关总监,https://www.lagou.com/zhaopin/gongguanzoongjian/
216,市场,1k5g,高端职位,0505,媒介总监,https://www.lagou.com/zhaopin/meijiezongjian/
217,市场,1k5g,高端职位,0506,创意总监,https://www.lagou.com/zhaopin/chuangyizongjian/
218,销售,1k5h,销售,0101,销售专员,https://www.lagou.com/zhaopin/xiaoshouzhuanyuan1/
219,销售,1k5h,销售,0102,销售顾问,https://www.lagou.com/zhaopin/xiaoshouguwen1/
220,销售,1k5h,销售,0103,销售经理,https://www.lagou.com/zhaopin/xiaoshoujingli1/
221,销售,1k5h,销售,0104,客户代表,https://www.lagou.com/zhaopin/xiaoshoukehudaibiao/
222,销售,1k5h,销售,0105,大客户代表,https://www.lagou.com/zhaopin/xiaoshoudakehudaibiao/
223,销售,1k5h,销售,0106,客户经理,https://www.lagou.com/zhaopin/kehujingli/
224,销售,1k5h,销售,0107,商务拓展,https://www.lagou.com/zhaopin/shangwutuozhan/
225,销售,1k5h,销售,0108,渠道销售 ,https://www.lagou.com/zhaopin/xiaoshouqudaoxiaoshou/
226,销售,1k5h,销售,0109,代理商销售,https://www.lagou.com/zhaopin/xiaoshoudailishangxiaoshou/
227,销售,1k5h,销售,0110,电话销售,https://www.lagou.com/zhaopin/xiaoshoudianhuaxiaoshou/
228,销售,1k5h,销售,0111,广告销售,https://www.lagou.com/zhaopin/guanggaoxiaoshou/
229,销售,1k5h,销售,0112,信用卡销售,https://www.lagou.com/zhaopin/xinyongkaxiaoshou/
230,销售,1k5h,销售,0113,保险销售,https://www.lagou.com/zhaopin/baoxianxiaoshou/
231,销售,1k5h,销售,0114,销售工程师,https://www.lagou.com/zhaopin/xiaoshougongchengshi/
232,销售,1k5h,销售,0115,商务渠道,https://www.lagou.com/zhaopin/xiaoshoushangwuqudao/
233,销售,1k5h,销售,0116,其他销售,https://www.lagou.com/zhaopin/qitaxiaoshou/
234,销售,1k5h,销售管理,0201,销售总监,https://www.lagou.com/zhaopin/xiaoshouzongjian1/
235,销售,1k5h,销售管理,0202,商务总监,https://www.lagou.com/zhaopin/xiaoshoushangwuzongjian/
236,销售,1k5h,销售管理,0203,区域总监,https://www.lagou.com/zhaopin/quyuzongjian/
237,销售,1k5h,销售管理,0204,城市经理,https://www.lagou.com/zhaopin/chengshijingli/
238,销售,1k5h,销售管理,0205,团队经理,https://www.lagou.com/zhaopin/tuanduijingli/
239,销售,1k5h,销售管理,0206,销售VP,https://www.lagou.com/zhaopin/xiaoshouvp/
240,销售,1k5h,销售管理,0207,商务主管,https://www.lagou.com/zhaopin/shangwuzhuguan/
241,销售,1k5h,销售管理,0208,其他销售管理职位,https://www.lagou.com/zhaopin/qitaxiaoshouguanligangwei/
242,职能,4T00,人力资源,0101,人力资源,https://www.lagou.com/zhaopin/renliziyuan1/
243,职能,4T00,人力资源,0102,招聘,https://www.lagou.com/zhaopin/zhaopin/
244,职能,4T00,人力资源,0103,HRBP,https://www.lagou.com/zhaopin/HRBP/
245,职能,4T00,人力资源,0104,人事/HR,https://www.lagou.com/zhaopin/renshiHR/
246,职能,4T00,人力资源,0105,培训经理,https://www.lagou.com/zhaopin/peixunjingli/
247,职能,4T00,人力资源,0106,薪资福利经理,https://www.lagou.com/zhaopin/xinzifulijingli/
248,职能,4T00,人力资源,0107,绩效考核经理,https://www.lagou.com/zhaopin/jixiaokaohejingli/
249,职能,4T00,人力资源,0108,员工关系,https://www.lagou.com/zhaopin/yuangongguanxi/
250,职能,4T00,行政,0201,助理,https://www.lagou.com/zhaopin/zhuli/
251,职能,4T00,行政,0202,前台,https://www.lagou.com/zhaopin/qiantai/
252,职能,4T00,行政,0203,行政,https://www.lagou.com/zhaopin/xingzheng1/
253,职能,4T00,行政,0204,总助,https://www.lagou.com/zhaopin/zongzhu/
254,职能,4T00,行政,0205,文秘,https://www.lagou.com/zhaopin/wenmi/
255,职能,4T00,财务,0301,会计,https://www.lagou.com/zhaopin/kuaiji/
256,职能,4T00,财务,0302,出纳,https://www.lagou.com/zhaopin/chuna/
257,职能,4T00,财务,0303,财务,https://www.lagou.com/zhaopin/caiwu1/
258,职能,4T00,财务,0304,结算,https://www.lagou.com/zhaopin/jiesuan/
259,职能,4T00,财务,0305,税务,https://www.lagou.com/zhaopin/shuiwu/
260,职能,4T00,财务,0306,审计,https://www.lagou.com/zhaopin/shenji/
261,职能,4T00,财务,0307,风控,https://www.lagou.com/zhaopin/fengkong/
