,catg_no,category2_no,category1_name,category2_name,category3_no,category3_name,href
30203,3,4Q00,设计,交互设计,0203,网页交互设计师,https://www.lagou.com/zhaopin/wangyejiaohushejishi/
30204,3,4Q00,设计,交互设计,0204,硬件交互设计师,https://www.lagou.com/zhaopin/yingjianjiaohushejishi/
30301,3,4Q00,设计,用户研究,0301,数据分析师,https://www.lagou.com/zhaopin/shujufenxishi/
30302,3,4Q00,设计,用户研究,0302,用户研究员,https://www.lagou.com/zhaopin/yonghuyanjiuyuan/
30303,3,4Q00,设计,用户研究,0303,游戏数值策划,https://www.lagou.com/zhaopin/youxishuzhicehua/
30401,3,4Q00,设计,高端职位,0401,设计经理/主管,https://www.lagou.com/zhaopin/shejijinglizhuguan/
30402,3,4Q00,设计,高端职位,0402,设计总监,https://www.lagou.com/zhaopin/shejizongjian/
30403,3,4Q00,设计,高端职位,0403,视觉设计经理/主管,https://www.lagou.com/zhaopin/shijueshejijinglizhuguan/
30404,3,4Q00,设计,高端职位,0404,视觉设计总监,https://www.lagou.com/zhaopin/shijueshejizongjian/
30405,3,4Q00,设计,高端职位,0405,交互设计经理/主管,https://www.lagou.com/zhaopin/jiaohushejijinglizhuguan/
30406,3,4Q00,设计,高端职位,0406,交互设计总监,https://www.lagou.com/zhaopin/jiaohushejizongjian/
30407,3,4Q00,设计,高端职位,0407,用户研究经理/主管,https://www.lagou.com/zhaopin/yonghuyanjiujinglizhuguan/
30408,3,4Q00,设计,高端职位,0408,用户研究总监,https://www.lagou.com/zhaopin/yonghuyanjiuzongjian/
40101,4,4R00,运营,运营,0101,用户运营,https://www.lagou.com/zhaopin/yonghuyunying/
40102,4,4R00,运营,运营,0102,产品运营,https://www.lagou.com/zhaopin/chanpinyunying/
40103,4,4R00,运营,运营,0103,数据运营,https://www.lagou.com/zhaopin/shujuyunying/
40104,4,4R00,运营,运营,0104,内容运营,https://www.lagou.com/zhaopin/neirongyunying/
40105,4,4R00,运营,运营,0105,活动运营,https://www.lagou.com/zhaopin/huodongyunying/
40106,4,4R00,运营,运营,0106,商家运营,https://www.lagou.com/zhaopin/shangjiayunying/
40107,4,4R00,运营,运营,0107,品类运营,https://www.lagou.com/zhaopin/pinleiyunying/
40108,4,4R00,运营,运营,0108,游戏运营,https://www.lagou.com/zhaopin/youxiyunying/
40109,4,4R00,运营,运营,0109,网络推广,https://www.lagou.com/zhaopin/wangluotuiguang/
40110,4,4R00,运营,运营,0110,运营专员,https://www.lagou.com/zhaopin/yunyingzhuanyuan/
40111,4,4R00,运营,运营,0111,网店运营,https://www.lagou.com/zhaopin/wangdianyunying/
40112,4,4R00,运营,运营,0112,新媒体运营,https://www.lagou.com/zhaopin/xinmeitiyunying/
40113,4,4R00,运营,运营,0113,海外运营,https://www.lagou.com/zhaopin/haiwaiyunying/
40114,4,4R00,运营,运营,0114,运营经理,https://www.lagou.com/zhaopin/yunyingjingli/
40201,4,4R00,运营,编辑,0201,副主编,https://www.lagou.com/zhaopin/fuzhubian/
40202,4,4R00,运营,编辑,0202,内容编辑,https://www.lagou.com/zhaopin/neirongbianji/
40203,4,4R00,运营,编辑,0203,文案策划,https://www.lagou.com/zhaopin/wenancehua/
40204,4,4R00,运营,编辑,0204,记者,https://www.lagou.com/zhaopin/jizhe/
40301,4,4R00,运营,客服,0301,售前咨询,https://www.lagou.com/zhaopin/shouqianzixun/
40302,4,4R00,运营,客服,0302,售后客服,https://www.lagou.com/zhaopin/shouhoukefu/
40303,4,4R00,运营,客服,0303,淘宝客服,https://www.lagou.com/zhaopin/taobaokefu/
40304,4,4R00,运营,客服,0304,客服经理,https://www.lagou.com/zhaopin/kefujingli/
40401,4,4R00,运营,高端职位,0401,主编,https://www.lagou.com/zhaopin/zhubian/
40402,4,4R00,运营,高端职位,0402,运营总监,https://www.lagou.com/zhaopin/yunyingzongjian/
40403,4,4R00,运营,高端职位,0403,COO,https://www.lagou.com/zhaopin/COO/
40404,4,4R00,运营,高端职位,0404,客服总监,https://www.lagou.com/zhaopin/kefuzongjian/
50101,5,1k5g,市场,市场/营销,0101,市场营销,https://www.lagou.com/zhaopin/shichangshichangyingxiao1/
50102,5,1k5g,市场,市场/营销,0102,市场策划,https://www.lagou.com/zhaopin/shichangcehua1/
50103,5,1k5g,市场,市场/营销,0103,市场顾问,https://www.lagou.com/zhaopin/shichangguwen1/
50104,5,1k5g,市场,市场/营销,0104,商务渠道,https://www.lagou.com/zhaopin/shangwuqudao2/
50105,5,1k5g,市场,市场/营销,0105,商业数据分析,https://www.lagou.com/zhaopin/shangyeshjufenxi/
50106,5,1k5g,市场,市场/营销,0106,活动策划,https://www.lagou.com/zhaopin/huodongcehua1/
50107,5,1k5g,市场,市场/营销,0107,网络营销,https://www.lagou.com/zhaopin/wangluoyingxiao1/
50108,5,1k5g,市场,市场/营销,0108,海外市场,https://www.lagou.com/zhaopin/haiwaishichang1/
50109,5,1k5g,市场,市场/营销,0109,商务专员,https://www.lagou.com/zhaopin/shangwuzhuanyuan/
50201,5,1k5g,市场,媒介/公关,0201,政府关系,https://www.lagou.com/zhaopin/zhengfuguanxi1/
50202,5,1k5g,市场,媒介/公关,0202,品牌公关,https://www.lagou.com/zhaopin/pinpaigongguan1/
